204;182;89284
205;251;72367
179;485;89106
279;139;70109
70;149;74295
320;583;71955
257;486;43936
128;770;99153
251;349;41466
37;255;71280
222;686;98261
397;518;51439
250;480;98704
249;100;41598
159;266;66533
169;130;72665
37;382;52384
50;734;70639
52;723;59498
243;80;46545
317;15;60604
372;224;48579
329;555;67866
77;58;68496
323;441;61873
179;484;54644
197;672;62808
380;622;43438
349;277;46422
201;88;64410
161;469;94936
362;142;66459
362;519;89747
6;622;62640
198;337;62553
243;232;90248
1;546;95733
344;520;70314
14;503;99565
145;421;42787
236;736;45304
77;459;60780
23;574;70742
278;625;51801
129;109;62082
212;100;90470
138;492;82863
284;95;85883
107;683;46729
81;433;49047
287;497;78280
182;266;53275
95;604;57298
89;218;98787
354;523;91613
174;261;83644
208;633;94082
71;286;64230
283;548;99575
323;286;77818
385;437;76752
241;480;74082
170;736;56363
79;377;90579
333;337;50298
244;659;92919
364;678;56771
7;676;88852
294;591;67455
241;310;69436
319;230;53265
93;187;59394
205;206;89035
219;273;92652
145;335;54967
259;783;86801
149;658;79185
325;53;89569
175;664;59201
347;634;96531
364;686;70290
370;682;43705
9;370;56135
395;296;52603
86;587;40935
120;584;55112
370;521;54778
20;639;44857
76;747;81555
58;303;63262
306;457;80755
238;278;50696
219;502;40716
282;711;97013
59;683;92670
224;504;93808
120;306;53773
13;204;82211
385;140;54114
179;97;53313
115;203;83651
192;373;69224
109;518;96618
15;169;58347
119;292;89428
392;678;80719
343;342;69634
208;538;69590
26;279;91487
176;443;80303
296;139;76836
358;491;57794
328;257;74115
247;102;65521
373;548;54728
22;708;57136
7;62;86112
33;2;68705
150;548;92147
261;108;95872
35;66;70213
206;619;43969
26;277;43296
10;671;51224
102;46;46650
159;726;45708
256;432;61854
299;489;70352
333;192;55900
300;663;81040
9;449;76744
163;3;88525
248;132;40132
11;267;91337
322;177;71271
398;577;66233
40;317;93145
249;104;80767
89;605;85482
368;191;45254
236;349;74266
95;7;61037
158;50;44792
22;632;90882
352;237;64899
229;638;83847
210;80;93357
5;6;50177
329;504;79397
152;713;69233
376;685;54498
28;152;65680
338;763;83584
283;259;49463
377;570;92925
28;592;84499
344;247;46824
300;342;63003
156;385;53134
71;537;86440
287;538;88955
122;361;50460
53;379;61490
96;779;68947
292;360;40839
1;221;49910
204;655;54386
343;484;62834
383;673;77167
348;635;95404
320;333;56840
314;140;92033
305;282;48991
85;218;58845
279;423;72219
103;614;84861
169;588;52465
65;216;54857
152;17;98636
89;274;55319
299;103;89222
294;400;74115
279;131;96440
394;544;61268
274;309;54607
1;228;53890
266;652;84081
320;161;62491
324;112;49963
279;169;48708
285;449;69898
200;206;92919
56;228;91686
68;139;50981
169;602;89617
127;779;81711
341;106;54689
290;761;87309
45;693;82160
396;789;44172
